2025-06-17 21:04:05 [main] INFO  org.testng.internal.Utils - [Utils] MethodGroupsHelper.collectMethodsByGroup() took 2 ms.
2025-06-17 21:04:45 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:04:58 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:04:58 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:04:58 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:05:08 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:05:34 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:05:34 [main] INFO  a.pages.AccountsPage - ✅ Clicked 'Accounts' tab.
2025-06-17 21:05:34 [main] INFO  a.pages.AccountsPage - Waiting for data to load...
2025-06-17 21:05:34 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:05:34 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:05:44 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:06:09 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:06:09 [main] INFO  a.pages.AccountsPage - ✅ Data loaded.
2025-06-17 21:06:09 [main] INFO  a.pages.AccountsPage - Scrolling to 'View Balance Components' button.
2025-06-17 21:06:09 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:06:09 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:06:20 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:06:45 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:06:45 [main] INFO  a.pages.AccountsPage - ✅ Scrolled to 'View Balance Components' button.
2025-06-17 21:06:45 [main] INFO  a.pages.AccountsPage - Clicking 'View Balance Components' button.
2025-06-17 21:06:45 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:06:45 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:06:55 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:07:20 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:07:20 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:07:31 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:07:31 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:07:43 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:07:43 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:07:43 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:07:53 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:08:18 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:08:18 [main] INFO  a.pages.AccountsPage - ✅ View Balance modal opened.
2025-06-17 21:08:18 [main] INFO  a.pages.AccountsPage - Attempting to close balance modal.
2025-06-17 21:08:18 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:08:18 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:08:29 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:08:54 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:08:54 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:09:04 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:09:04 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:09:15 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:09:15 [main] INFO  a.pages.AccountsPage - ✅ Balance modal closed.
2025-06-17 21:09:15 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:09:15 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:09:25 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:09:50 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:09:50 [main] INFO  a.pages.AccountsPage - Initiating download of '1 Month' statement in PDF
2025-06-17 21:09:50 [main] INFO  a.pages.AccountsPage - Checking visibility of 'Detailed Statement' button.
2025-06-17 21:09:50 [main] INFO  a.pages.AccountsPage - ✅ 'Detailed Statement' is visible.
2025-06-17 21:09:50 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:10:01 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:10:01 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:10:02 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:10:02 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:10:02 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:10:13 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:10:39 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:10:39 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:10:49 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:10:49 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:10:59 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:10:59 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:10:59 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:11:10 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:11:35 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:11:35 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:11:46 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:11:46 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:11:47 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:11:47 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:11:47 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:12:02 [main] WARN  a.pages.AccountsPage - ⚠️ Spinner wait skipped or failed gracefully.
2025-06-17 21:12:27 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:12:27 [main] INFO  a.pages.AccountsPage - ✅ 1 Month statement download triggered.
2025-06-17 21:12:27 [main] INFO  a.pages.AccountsPage - Initiating download of '3 Months' statement in PDF
2025-06-17 21:12:27 [main] INFO  a.pages.AccountsPage - Checking visibility of 'Detailed Statement' button.
2025-06-17 21:12:32 [main] WARN  a.pages.AccountsPage - ⚠️ 'Detailed Statement' not visible. Re-clicking Accounts Tab.
2025-06-17 21:12:32 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:12:43 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:12:43 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:13:00 [main] WARN  a.pages.AccountsPage - ⚠️ Spinner wait skipped or failed gracefully.
2025-06-17 21:13:00 [main] INFO  a.pages.AccountsPage - ✅ 'Detailed Statement' became visible after re-clicking Accounts Tab.
2025-06-17 21:13:00 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:13:16 [main] WARN  a.pages.AccountsPage - ⚠️ Spinner wait skipped or failed gracefully.
2025-06-17 21:13:17 [main] WARN  a.pages.AccountsPage - ⚠️ Click intercepted attempt 1/3: element click intercepted: Element <span _ngcontent-ng-c1284850809="" class="text-blue-500 font-semibold">...</span> is not clickable at point (1419, 182). Other element would receive the click: <div _ngcontent-ng-c587276320="" class="ngx-spinner-overlay ng-tns-c587276320-1 ng-trigger ng-trigger-fadeIn ng-star-inserted ng-animating" style="background-color: rgba(51, 51, 51, 0.8); z-index: 99999; position: fixed;">...</div>
  (Session info: chrome=137.0.7151.104)
Build info: version: '4.20.0', revision: '866c76ca80'
System info: os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '17.0.12'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [855d09442e270520ba9dc90ec2c21bea, clickElement {id=f.017C2DDD53A4D92CD3D9410D52DD24B9.d.3E2BD6A444B20506AAB2EB83651C9849.e.246}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 137.0.7151.104, chrome: {chromedriverVersion: 137.0.7151.70 (dfa4dc56b2ab..., userDataDir: C:\Users\rajum\AppData\Loca...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:59315}, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), se:cdp: ws://localhost:59315/devtoo..., se:cdpVersion: 137.0.7151.104, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Element: [[ChromeDriver: chrome on windows (855d09442e270520ba9dc90ec2c21bea)] -> xpath: //span[contains(text(),'Detailed Statement')]]
Session ID: 855d09442e270520ba9dc90ec2c21bea
2025-06-17 21:13:17 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:13:32 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:13:32 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:13:48 [main] WARN  a.pages.AccountsPage - ⚠️ Spinner wait skipped or failed gracefully.
2025-06-17 21:13:48 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:13:48 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:14:03 [main] WARN  a.pages.AccountsPage - ⚠️ Spinner wait skipped or failed gracefully.
2025-06-17 21:14:28 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:14:28 [main] INFO  a.pages.AccountsPage - Selecting custom duration: 3 Months
2025-06-17 21:14:28 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:14:44 [main] WARN  a.pages.AccountsPage - ⚠️ Spinner wait skipped or failed gracefully.
2025-06-17 21:14:45 [main] WARN  a.pages.AccountsPage - ⚠️ Click intercepted attempt 1/3: element click intercepted: Element <button _ngcontent-ng-c1879628175="" appblockdblclick="" class="account_button gap-2 px-1 py-2 flex justify-content-center w-4">...</button> is not clickable at point (1182, 338). Other element would receive the click: <div _ngcontent-ng-c587276320="" class="ngx-spinner-overlay ng-tns-c587276320-1 ng-trigger ng-trigger-fadeIn ng-star-inserted ng-animating" style="background-color: rgba(51, 51, 51, 0.8); z-index: 99999; position: fixed;">...</div>
  (Session info: chrome=137.0.7151.104)
Build info: version: '4.20.0', revision: '866c76ca80'
System info: os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '17.0.12'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [855d09442e270520ba9dc90ec2c21bea, clickElement {id=f.017C2DDD53A4D92CD3D9410D52DD24B9.d.3E2BD6A444B20506AAB2EB83651C9849.e.267}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 137.0.7151.104, chrome: {chromedriverVersion: 137.0.7151.70 (dfa4dc56b2ab..., userDataDir: C:\Users\rajum\AppData\Loca...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:59315}, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), se:cdp: ws://localhost:59315/devtoo..., se:cdpVersion: 137.0.7151.104, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Element: [[ChromeDriver: chrome on windows (855d09442e270520ba9dc90ec2c21bea)] -> xpath: //button[contains(text(),'3 Months')]]
Session ID: 855d09442e270520ba9dc90ec2c21bea
2025-06-17 21:14:45 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:15:01 [main] WARN  a.pages.AccountsPage - ⚠️ Spinner wait skipped or failed gracefully.
2025-06-17 21:15:02 [main] WARN  a.pages.AccountsPage - ⚠️ Click intercepted attempt 2/3: element click intercepted: Element <button _ngcontent-ng-c1879628175="" appblockdblclick="" class="account_button gap-2 px-1 py-2 flex justify-content-center w-4">...</button> is not clickable at point (1182, 338). Other element would receive the click: <div _ngcontent-ng-c587276320="" class="ngx-spinner-overlay ng-tns-c587276320-1 ng-trigger ng-trigger-fadeIn ng-star-inserted ng-animating" style="background-color: rgba(51, 51, 51, 0.8); z-index: 99999; position: fixed;">...</div>
  (Session info: chrome=137.0.7151.104)
Build info: version: '4.20.0', revision: '866c76ca80'
System info: os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '17.0.12'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [855d09442e270520ba9dc90ec2c21bea, clickElement {id=f.017C2DDD53A4D92CD3D9410D52DD24B9.d.3E2BD6A444B20506AAB2EB83651C9849.e.267}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 137.0.7151.104, chrome: {chromedriverVersion: 137.0.7151.70 (dfa4dc56b2ab..., userDataDir: C:\Users\rajum\AppData\Loca...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:59315}, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), se:cdp: ws://localhost:59315/devtoo..., se:cdpVersion: 137.0.7151.104, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Element: [[ChromeDriver: chrome on windows (855d09442e270520ba9dc90ec2c21bea)] -> xpath: //button[contains(text(),'3 Months')]]
Session ID: 855d09442e270520ba9dc90ec2c21bea
2025-06-17 21:15:02 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:15:17 [main] WARN  a.pages.AccountsPage - ⚠️ Spinner wait skipped or failed gracefully.
2025-06-17 21:15:19 [main] WARN  a.pages.AccountsPage - ⚠️ Click intercepted attempt 3/3: element click intercepted: Element <button _ngcontent-ng-c1879628175="" appblockdblclick="" class="account_button gap-2 px-1 py-2 flex justify-content-center w-4">...</button> is not clickable at point (1182, 338). Other element would receive the click: <div _ngcontent-ng-c587276320="" class="ngx-spinner-overlay ng-tns-c587276320-1 ng-trigger ng-trigger-fadeIn ng-star-inserted ng-animating" style="background-color: rgba(51, 51, 51, 0.8); z-index: 99999; position: fixed;">...</div>
  (Session info: chrome=137.0.7151.104)
Build info: version: '4.20.0', revision: '866c76ca80'
System info: os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '17.0.12'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Command: [855d09442e270520ba9dc90ec2c21bea, clickElement {id=f.017C2DDD53A4D92CD3D9410D52DD24B9.d.3E2BD6A444B20506AAB2EB83651C9849.e.267}]
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 137.0.7151.104, chrome: {chromedriverVersion: 137.0.7151.70 (dfa4dc56b2ab..., userDataDir: C:\Users\rajum\AppData\Loca...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:59315}, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), se:cdp: ws://localhost:59315/devtoo..., se:cdpVersion: 137.0.7151.104, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Element: [[ChromeDriver: chrome on windows (855d09442e270520ba9dc90ec2c21bea)] -> xpath: //button[contains(text(),'3 Months')]]
Session ID: 855d09442e270520ba9dc90ec2c21bea
2025-06-17 21:15:19 [main] ERROR a.pages.AccountsPage - ❌ Error during 3 Months statement download: ❌ Click failed after 3 attempts: By.xpath: //button[contains(text(),'3 Months')]
2025-06-17 21:15:19 [main] INFO  a.pages.AccountsPage - Initiating download of '1 Month' statement in XLS
2025-06-17 21:15:19 [main] INFO  a.pages.AccountsPage - Checking visibility of 'Detailed Statement' button.
2025-06-17 21:15:25 [main] WARN  a.pages.AccountsPage - ⚠️ 'Detailed Statement' not visible. Re-clicking Accounts Tab.
2025-06-17 21:15:25 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:15:35 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:15:35 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:15:36 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:15:36 [main] INFO  a.pages.AccountsPage - ✅ 'Detailed Statement' became visible after re-clicking Accounts Tab.
2025-06-17 21:15:36 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:15:47 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:15:48 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:15:48 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:15:48 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:15:48 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:15:59 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:16:25 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:16:25 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:16:35 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:16:35 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:16:45 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:16:45 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:16:45 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:16:56 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:17:21 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:17:21 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:17:32 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:17:32 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:17:42 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:17:42 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:17:42 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:17:52 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:18:18 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:18:18 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:18:28 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:18:28 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:18:43 [main] WARN  a.pages.AccountsPage - ⚠️ Spinner wait skipped or failed gracefully.
2025-06-17 21:18:43 [main] INFO  a.pages.AccountsPage - Waiting for page to load and checking for service errors...
2025-06-17 21:18:43 [main] INFO  a.pages.AccountsPage - ⏳ Waiting for spinner to fully disappear...
2025-06-17 21:18:55 [main] INFO  a.pages.AccountsPage - ✅ Spinner disappeared.
2025-06-17 21:19:20 [main] INFO  a.pages.AccountsPage - ✅ Page is ready.
2025-06-17 21:19:20 [main] INFO  a.pages.AccountsPage - ✅ 1 Month statement download triggered.
2025-06-17 21:19:20 [main] INFO  a.pages.AccountsPage - Initiating download of '3 Months' statement in XLS
2025-06-17 21:19:20 [main] INFO  a.pages.AccountsPage - Checking visibility of 'Detailed Statement' button.
